gender,age,race,time,house,date,cost,tips,pec,ppec,Rpec,Rtips,Rcost
0,2,0,0,1,6,12.5,1,0.08,0.0064,2,2,2
0,0,0,0,1,2,12.45,2,0.16064257,0.012903018,2,3,2
1,1,0,1,0,7,12.35,2,0.16194332,0.013112819,2,3,2
1,1,0,1,0,7,12.25,3,0.244897959,0.01999167,3,4,2
0,1,0,0,1,2,12.05,5,0.414937759,0.034434669,3,6,2
0,2,0,0,0,4,12,2,0.166666667,0.013888889,2,3,2
0,2,0,1,2,6,11.85,3,0.253164557,0.021364098,3,4,2
0,2,0,0,0,1,11.75,1,0.085106383,0.007243096,2,2,2
0,0,0,0,1,4,11.75,3.25,0.276595745,0.023540063,3,4,2
1,2,0,0,0,4,11.7,3,0.256410256,0.021915407,3,4,2
0,1,2,1,0,5,11.55,3,0.25974026,0.022488334,3,4,2
1,1,2,1,1,5,11.55,4.45,0.385281385,0.033357696,3,5,2
1,1,0,1,1,2,11.55,4,0.346320346,0.029984446,3,5,2
0,0,0,0,1,7,11.45,2,0.174672489,0.015255239,2,3,2
0,0,1,1,0,7,11.45,0,0,0,1,1,2
0,0,0,1,0,7,10.9,2,0.183486239,0.0168336,2,3,2
0,2,0,0,0,2,10.8,3,0.277777778,0.025720165,3,4,2
0,0,0,0,1,4,10.5,3,0.285714286,0.027210884,3,4,2
0,1,0,1,2,1,10.45,2,0.19138756,0.018314599,2,3,2
0,1,0,0,2,2,10.45,3,0.28708134,0.027471899,3,4,2
0,1,1,0,1,2,10.1,4.9,0.485148515,0.048034506,3,5,2
0,2,0,1,1,2,10.1,3.9,0.386138614,0.038231546,3,4,2
1,1,0,0,0,1,10,2,0.2,0.02,3,3,2
0,2,0,0,1,2,9.95,0,0,0,1,1,1
1,1,0,0,1,6,9.1,2,0.21978022,0.024151673,3,3,1
0,1,1,0,1,6,9.05,3,0.331491713,0.036628919,3,4,1
1,0,0,0,1,4,8.45,2,0.236686391,0.028010224,3,3,1
0,0,0,0,0,7,7.95,1,0.125786164,0.015822159,2,2,1
0,2,0,0,0,7,7.95,3,0.377358491,0.047466477,3,4,1
0,2,0,0,0,1,7.75,0,0,0,1,1,1
0,0,0,0,2,2,7.5,2,0.266666667,0.035555556,3,3,1
0,2,0,0,1,2,7.5,2,0.266666667,0.035555556,3,3,1
1,0,0,0,0,4,7.5,1,0.133333333,0.017777778,2,2,1
1,1,0,0,2,4,7.5,2,0.266666667,0.035555556,3,3,1
0,2,0,0,2,4,7.5,1,0.133333333,0.017777778,2,2,1
0,2,0,0,2,4,7.5,1,0.133333333,0.017777778,2,2,1
0,1,0,0,1,4,7.5,2.5,0.333333333,0.044444444,3,3,1
0,0,0,0,1,4,5.25,0,0,0,1,1,1
